check,item,pass,notes
Keyboard,All actions possible with keyboard only,,
Keyboard,Focus order logical; no traps; visible focus,,
Keyboard,Skip link working (jump to main content),,
Keyboard,Enter key submits forms where expected,,
Forms,Labels properly associated (for + id),,
Forms,Required fields marked (required attribute + visual indicator),,
Forms,Errors linked via aria-describedby (field & summary),,
Forms,Error messages have role="alert" or role="status",,
Dynamic,Status/messages announced via role="status" or role="alert",,
Dynamic,Live regions don't interrupt navigation (aria-live="polite"),,
Dynamic,Focus management after dynamic updates (new content receives focus if needed),,
No-JS,Full-page path equivalent to HTMX path (all tasks completable),,
No-JS,Error messages visible after POST-Redirect-GET,,
No-JS,Confirmation messages shown (e.g. "Task added successfully"),,
No-JS,Delete confirmation present (or documented trade-off),,
Visual,Text contrast meets WCAG AA (4.5:1 for normal text),,
Visual,UI component contrast meets WCAG AA (3:1),,
Visual,All content readable at 200% zoom,,
Visual,No horizontal scroll at 200% zoom,,
Visual,Text resizable without assistive tech,,
Semantic,Proper heading hierarchy (h1 → h2 → h3),,
Semantic,Landmarks present (nav main aside footer),,
Semantic,Lists use proper markup (ul ol li),,
ARIA,aria-label or aria-labelledby used correctly,,
ARIA,aria-describedby links hints and errors to inputs,,
ARIA,No ARIA if native HTML works (button over div role="button"),,
Images,Alt text provided for meaningful images,,
Images,Decorative images have alt="" or role="presentation",,
Links,Link text descriptive (not "click here"),,
Links,Links visually distinguishable from surrounding text,,
Tables,Table headers (th) properly scoped (scope="col" or "row"),,
